Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
"El ascenso de Hitler y otros dictadores en la década de 1930 obligó a numerosos intelectuales católicos a huir de Europa. El presidente John O 'Hara trajo muchos a Notre Dame. De Alemania vino Anton-Hermann Chroust (1907-1982) en los clásicos y el derecho, y Waldemar Gurian un intelectual católico alemán de ascendencia judía. El positivismo dominó la vida intelectual estadounidense en la década de 1920 en adelante, pero en marcado contraste, Gurian recibió una educación católica alemana y escribió su tesis doctoral bajo Max Scheler. Ivan Meštrović (1883-1962), un renombrado escultor, llevó la cultura croata al campus, 1955-62. Yves Simon (1903-61), trajo a la ND en la década de 1940 las ideas de los estudios franceses en la tradición aristotélica de la filosofía; Su propio profesor Jacques Maritain (1882-73) fue un visitante frecuente del campus.";¿Desde dónde llegó Anton-Hermann Chroust a Notre Dame?;Alemania;Suiza;Francia;Bélgica;Alemania;Valor Predeterminado
"El ascenso de Hitler y otros dictadores en la década de 1930 obligó a numerosos intelectuales católicos a huir de Europa. El presidente John O 'Hara trajo muchos a Notre Dame. De Alemania vino Anton-Hermann Chroust (1907-1982) en los clásicos y el derecho, y Waldemar Gurian un intelectual católico alemán de ascendencia judía. El positivismo dominó la vida intelectual estadounidense en la década de 1920 en adelante, pero en marcado contraste, Gurian recibió una educación católica alemana y escribió su tesis doctoral bajo Max Scheler. Ivan Meštrović (1883-1962), un renombrado escultor, llevó la cultura croata al campus, 1955-62. Yves Simon (1903-61), trajo a la ND en la década de 1940 las ideas de los estudios franceses en la tradición aristotélica de la filosofía; Su propio profesor Jacques Maritain (1882-73) fue un visitante frecuente del campus.";¿En qué campo de estudio se especializaba Anton-Hermann Chroust?;Literatura comparada;clásicos y el derecho;Filosofía;Historia del arte;clásicos y el derecho;Valor Predeterminado
"El ascenso de Hitler y otros dictadores en la década de 1930 obligó a numerosos intelectuales católicos a huir de Europa. El presidente John O 'Hara trajo muchos a Notre Dame. De Alemania vino Anton-Hermann Chroust (1907-1982) en los clásicos y el derecho, y Waldemar Gurian un intelectual católico alemán de ascendencia judía. El positivismo dominó la vida intelectual estadounidense en la década de 1920 en adelante, pero en marcado contraste, Gurian recibió una educación católica alemana y escribió su tesis doctoral bajo Max Scheler. Ivan Meštrović (1883-1962), un renombrado escultor, llevó la cultura croata al campus, 1955-62. Yves Simon (1903-61), trajo a la ND en la década de 1940 las ideas de los estudios franceses en la tradición aristotélica de la filosofía; Su propio profesor Jacques Maritain (1882-73) fue un visitante frecuente del campus.";¿Quién recibió Waldemar Gurian su tutela mientras buscaba su doctorado?;Walter Terlinden;Max Wieseler;Max Scheler;Friedrich Nietzsche;Max Scheler;Valor Predeterminado
La Universidad de Notre Dame du Lac (en inglés: University of Notre Dame du Lac) es una universidad católica ubicada en South Bend, Indiana, Estados Unidos. En francés, Notre Dame du Lac significa Nuestra Señora del Lago y se refiere a la patrona de la universidad, la Virgen María. El campus principal cubre 1.250 acres en un entorno suburbano y contiene una serie de lugares reconocibles, como el Golden Dome, el mural Word of Life (comúnmente conocido como Touchdown Jesus), y la Basílica.;La escuela conocida como Notre Dame es conocida por un nombre más largo, ¿qué es?;Universidad de Notre Dame du;Seminario Católico de Notre Dame;Escuela de Arte de Notre Dame;Colegio de Humanidades de Notre Dame;Universidad de Notre Dame du;Valor Predeterminado
La Universidad de Notre Dame du Lac (en inglés: University of Notre Dame du Lac) es una universidad católica ubicada en South Bend, Indiana, Estados Unidos. En francés, Notre Dame du Lac significa Nuestra Señora del Lago y se refiere a la patrona de la universidad, la Virgen María. El campus principal cubre 1.250 acres en un entorno suburbano y contiene una serie de lugares reconocibles, como el Golden Dome, el mural Word of Life (comúnmente conocido como Touchdown Jesus), y la Basílica.;¿Las palabras francesas Notre Dame du Lac traducen a qué en inglés?;Nuestra Señora del Lago;La Virgen del Lago;Nuestra Señora de la Lago;María del Lago;Nuestra Señora del Lago;Valor Predeterminado
La Universidad de Notre Dame du Lac (en inglés: University of Notre Dame du Lac) es una universidad católica ubicada en South Bend, Indiana, Estados Unidos. En francés, Notre Dame du Lac significa Nuestra Señora del Lago y se refiere a la patrona de la universidad, la Virgen María. El campus principal cubre 1.250 acres en un entorno suburbano y contiene una serie de lugares reconocibles, como el Golden Dome, el mural Word of Life (comúnmente conocido como Touchdown Jesus), y la Basílica.;¿Quién es el santo patrón de Notre Dame?;El Santo de los Mil Miraños;San José;San Francisco de Asís;la Virgen María;la Virgen María;Valor Predeterminado
La Universidad de Notre Dame du Lac (en inglés: University of Notre Dame du Lac) es una universidad católica ubicada en South Bend, Indiana, Estados Unidos. En francés, Notre Dame du Lac significa Nuestra Señora del Lago y se refiere a la patrona de la universidad, la Virgen María. El campus principal cubre 1.250 acres en un entorno suburbano y contiene una serie de lugares reconocibles, como el Golden Dome, el mural Word of Life (comúnmente conocido como Touchdown Jesus), y la Basílica.;¿Cuán grande es Notre Dame en hectáreas?;2000 acres;1500 hectáreas;1.250 acres;5000 hectáreas;1.250 acres;Valor Predeterminado
Notre Dame saltó a la fama nacional a principios de 1900 por su equipo de fútbol irlandés, especialmente bajo la dirección del legendario entrenador Knute Rockne. Los equipos deportivos de la universidad son miembros de la División I de la NCAA y son conocidos colectivamente como Fighting Irish. El equipo de fútbol independiente ha acumulado once campeonatos nacionales, siete ganadores del Trofeo Heisman, 62 miembros en el Salón de la Fama del Fútbol Americano Universitario y 13 miembros en el Salón de la Fama del Fútbol Americano Profesional. Otros equipos de la ND, principalmente en la Atlantic Coast Conference, han acumulado 16 campeonatos nacionales. La Marcha de la Victoria de Notre Dame es a menudo considerada como la más famosa y reconocible canción de lucha colegial.;¿Qué hizo que Notre Dame se hiciera notable a principios del siglo XX?;La fundación de la asociación estudiantil.;su equipo de fútbol irlandés;El equipo de fútbol americano.;La construcción del monumento de la universidad.;su equipo de fútbol irlandés;Valor Predeterminado
Notre Dame saltó a la fama nacional a principios de 1900 por su equipo de fútbol irlandés, especialmente bajo la dirección del legendario entrenador Knute Rockne. Los equipos deportivos de la universidad son miembros de la División I de la NCAA y son conocidos colectivamente como Fighting Irish. El equipo de fútbol independiente ha acumulado once campeonatos nacionales, siete ganadores del Trofeo Heisman, 62 miembros en el Salón de la Fama del Fútbol Americano Universitario y 13 miembros en el Salón de la Fama del Fútbol Americano Profesional. Otros equipos de la ND, principalmente en la Atlantic Coast Conference, han acumulado 16 campeonatos nacionales. La Marcha de la Victoria de Notre Dame es a menudo considerada como la más famosa y reconocible canción de lucha colegial.;¿Qué entrenador de fútbol de Notre Dame del siglo XX es más notable?;Amos Alonzo Stagg;Knute Rockne;Knute Rockne;Knute Rockne y Amos Alonzo Stagg;Knute Rockne;Valor Predeterminado
Notre Dame saltó a la fama nacional a principios de 1900 por su equipo de fútbol irlandés, especialmente bajo la dirección del legendario entrenador Knute Rockne. Los equipos deportivos de la universidad son miembros de la División I de la NCAA y son conocidos colectivamente como Fighting Irish. El equipo de fútbol independiente ha acumulado once campeonatos nacionales, siete ganadores del Trofeo Heisman, 62 miembros en el Salón de la Fama del Fútbol Americano Universitario y 13 miembros en el Salón de la Fama del Fútbol Americano Profesional. Otros equipos de la ND, principalmente en la Atlantic Coast Conference, han acumulado 16 campeonatos nacionales. La Marcha de la Victoria de Notre Dame es a menudo considerada como la más famosa y reconocible canción de lucha colegial.;¿De qué asociación atlética forman parte los atletas de Notre Dame?;División I;Liga de Fútbol Nacional;Asociación de Deportes Universitarios;Liga de Fútbol Americano Profesional;División I;Valor Predeterminado
Notre Dame saltó a la fama nacional a principios de 1900 por su equipo de fútbol irlandés, especialmente bajo la dirección del legendario entrenador Knute Rockne. Los equipos deportivos de la universidad son miembros de la División I de la NCAA y son conocidos colectivamente como Fighting Irish. El equipo de fútbol independiente ha acumulado once campeonatos nacionales, siete ganadores del Trofeo Heisman, 62 miembros en el Salón de la Fama del Fútbol Americano Universitario y 13 miembros en el Salón de la Fama del Fútbol Americano Profesional. Otros equipos de la ND, principalmente en la Atlantic Coast Conference, han acumulado 16 campeonatos nacionales. La Marcha de la Victoria de Notre Dame es a menudo considerada como la más famosa y reconocible canción de lucha colegial.;¿Cuántos estudiantes de Notre Dame recibieron el Trofeo Heisman?;Nueve ganadores del Trofeo Heisman;Cinco ganadores del Trofeo Heisman;siete ganadores del Trofeo Heisman;Siete ganadores del Trofeo Heisman;siete ganadores del Trofeo Heisman;Valor Predeterminado
Notre Dame saltó a la fama nacional a principios de 1900 por su equipo de fútbol irlandés, especialmente bajo la dirección del legendario entrenador Knute Rockne. Los equipos deportivos de la universidad son miembros de la División I de la NCAA y son conocidos colectivamente como Fighting Irish. El equipo de fútbol independiente ha acumulado once campeonatos nacionales, siete ganadores del Trofeo Heisman, 62 miembros en el Salón de la Fama del Fútbol Americano Universitario y 13 miembros en el Salón de la Fama del Fútbol Americano Profesional. Otros equipos de la ND, principalmente en la Atlantic Coast Conference, han acumulado 16 campeonatos nacionales. La Marcha de la Victoria de Notre Dame es a menudo considerada como la más famosa y reconocible canción de lucha colegial.;Había varios estudiantes de Notre Dame que entraron en el Salón de la Fama del Fútbol Americano Profesional, ¿cuántos?;13;17;10;7;13;Valor Predeterminado
Además de su prominencia en los deportes, Notre Dame es también una universidad grande, de cuatro años, altamente residencial, y está constantemente clasificada entre las veinte mejores universidades en los Estados Unidos y como una importante universidad global. El componente de pregrado de la universidad está organizado en cuatro universidades (Artes y Letras, Ciencias, Ingeniería, Negocios) y la Escuela de Arquitectura. Este último es conocido por enseñar Nueva Arquitectura Clásica y por otorgar el Premio de Arquitectura Driehaus. El programa de postgrado de Notre Dame tiene más de 50 maestrías, doctorados y programas de grado profesional ofrecidos por las cinco escuelas, con la adición de la Escuela de Derecho de Notre Dame y un programa de doctorado MD. Mantiene un sistema de bibliotecas, lugares culturales, museos artísticos y científicos, incluyendo la Biblioteca Hesburgh y el Museo Snite de Arte. Más del 80% de los 8.000 estudiantes universitarios viven en el campus en una de las 29 residencias de un solo sexo, cada una con sus propias tradiciones, legados, eventos y equipos deportivos intramuros. La universidad cuenta con aproximadamente 120.000 alumnos, considerados entre las redes de ex-alumnos más fuertes entre las universidades estadounidenses.;¿Dónde se encuentra entre las universidades estadounidenses el rango de Notre Dame?;En las primeras diez universidades de mayor reputación en Estados Unidos.;entre las veinte mejores;En el top 10 de universidades estadounidenses según rankings.;Entre las mejores tres universidades estadounidenses.;entre las veinte mejores;Valor Predeterminado
